Task,MVP
start,cord
24,16
Goal,cord
16,9
RowCol
25,25
Objectives
3
Objects,gridList
comfort
820,600,567,586,863,202,652,641,291,347,835,992,535,737,998,146,34,130,804,189,424,327,937,538,358
295,705,169,671,639,769,436,765,551,133,213,723,469,549,621,550,764,278,899,45,90,111,397,308,764
478,616,881,398,886,648,100,603,767,820,754,71,268,586,11,757,212,600,125,493,845,548,126,171,419
985,171,559,789,795,280,601,777,80,199,92,518,146,299,878,291,71,497,131,36,829,128,556,704,630
774,151,336,514,475,891,212,588,597,645,695,965,681,334,358,120,840,568,216,759,49,110,799,195,536
173,573,825,216,535,508,883,510,735,89,517,245,361,757,319,683,754,662,462,562,691,829,456,736,339
211,185,169,190,923,612,71,338,323,263,97,251,509,188,227,157,933,839,297,104,852,856,629,28,366
843,896,529,789,942,909,337,698,52,186,970,414,151,96,506,825,553,743,184,57,904,114,443,701,900
899,379,257,161,705,774,313,573,77,899,185,87,516,748,414,619,947,510,75,812,735,49,967,981,417
666,560,908,298,294,482,816,640,169,85,617,453,259,551,934,979,192,385,698,738,529,355,876,689,954
938,533,741,648,250,381,837,598,531,181,355,55,515,491,140,576,516,184,139,506,166,669,507,972,780
120,707,468,461,766,7,40,100,380,314,891,305,525,267,886,856,931,185,12,575,689,276,537,141,309
806,624,39,818,330,942,663,164,643,908,891,277,836,147,68,678,872,569,69,337,149,206,796,235,701
483,633,483,873,76,580,211,653,945,747,438,59,793,35,154,223,308,176,394,94,250,863,197,820,466
579,343,197,744,599,850,285,525,472,851,719,612,22,547,142,386,685,46,713,193,870,938,821,925,637
133,460,833,959,203,471,169,219,715,926,679,733,710,417,871,892,191,920,621,143,829,462,134,12,797
392,953,184,909,226,768,929,636,225,20,803,845,293,668,919,597,914,501,517,807,357,121,755,594,813
215,208,376,557,431,305,330,702,770,39,337,75,758,717,235,614,317,189,394,91,668,826,685,939,640
685,520,184,418,915,734,607,947,373,24,283,48,173,719,54,304,986,976,438,472,374,308,346,574,994
66,353,729,866,903,450,739,175,298,727,740,722,577,885,252,543,374,60,432,391,578,189,564,984,258
267,582,246,825,515,872,194,406,137,983,14,926,519,228,911,686,658,37,783,864,59,172,991,549,4
418,21,749,163,508,345,184,33,647,540,774,295,288,18,613,9,768,730,570,241,550,371,616,158,206
610,195,473,736,547,38,170,438,953,130,503,62,565,692,352,103,812,363,476,170,344,334,255,592,904
825,725,948,254,98,368,215,232,499,687,154,14,391,633,484,73,260,400,203,354,212,202,657,875,371
123,685,171,464,724,789,578,954,858,552,160,657,185,339,856,577,206,604,337,62,42,979,313,445,654
comfort
comfort
384,675,620,789,993,959,65,327,988,272,291,687,775,195,15,260,995,756,860,643,31,694,2,767,555
858,683,741,123,364,579,34,243,483,567,195,699,575,281,810,48,456,301,450,902,455,447,471,593,961
20,76,445,927,144,799,603,417,825,525,46,789,550,267,893,75,900,834,441,111,605,166,547,98,260
890,635,46,946,822,992,609,186,596,211,740,930,100,893,645,889,780,173,678,350,815,917,975,380,51
435,435,588,60,259,718,193,344,103,96,971,533,595,654,907,685,541,494,292,986,655,329,244,475,580
647,726,729,642,777,758,312,939,412,176,796,111,703,113,680,184,751,14,556,682,51,302,31,473,911
787,205,918,106,568,667,805,310,470,699,278,794,321,392,941,292,319,186,978,510,433,783,207,585,1
330,376,911,674,639,758,233,598,511,672,351,254,966,139,808,428,202,606,610,47,327,429,775,158,977
693,288,428,508,358,378,38,992,718,430,593,461,922,9,364,14,498,474,664,959,6,622,890,83,68
489,718,283,579,681,691,940,385,566,385,326,389,593,917,588,960,579,342,456,14,703,401,768,936,323
617,691,954,176,548,470,6,65,60,205,146,874,114,580,149,385,811,430,500,761,596,638,899,684,319
32,970,310,638,812,943,184,758,843,579,302,722,425,120,617,629,72,147,37,474,740,162,816,311,976
83,607,718,115,178,569,834,298,196,215,766,346,857,427,30,589,406,896,522,18,385,835,665,169,448
164,883,973,804,446,512,364,602,259,52,609,92,139,67,251,270,224,864,885,454,757,185,697,152,57
324,558,72,583,399,409,831,331,836,483,528,852,487,326,432,645,177,681,42,653,157,317,538,683,4
656,657,28,411,701,531,277,952,577,842,159,728,670,325,346,458,832,733,188,676,77,366,698,272,480
781,662,351,250,382,399,674,503,271,862,790,222,56,285,611,351,455,931,205,238,832,198,289,491,288
863,853,458,367,450,543,165,9,134,234,858,125,144,63,697,939,796,946,271,981,549,222,656,567,572
710,420,178,266,793,775,912,398,562,474,299,134,195,836,762,311,896,564,881,470,893,766,739,20,983
31,990,88,336,982,944,337,285,447,978,522,631,385,826,445,659,258,485,392,408,118,853,139,907,199
866,856,911,670,202,757,82,647,894,586,785,502,802,352,948,193,508,614,446,232,661,111,472,784,251
991,422,932,535,251,555,806,929,456,23,17,18,823,491,440,322,859,125,549,557,823,266,132,610,391
198,388,897,700,946,48,827,956,954,60,855,745,963,766,952,290,237,745,699,392,68,770,854,320,599
813,397,564,926,902,391,28,631,498,488,729,648,47,147,469,714,862,233,694,182,472,475,98,279,836
876,107,424,305,665,104,153,866,72,147,232,459,616,970,395,876,431,352,187,489,895,590,532,231,764
comfort
obstacle
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
obstacle
end
Rulebook,hierch
obstacle clearance
shortest path
comfort
Method,mc1
